STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/10/17,6.71,,,0.73,0,0,77,84,67,160,170,30,38
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/11/17,5.59,,,0.56,0,0,76,85,70,230,230,17,21.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/12/17,10.51,,,1.77,0,0,75,81,68,10,10,31.1,38.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/13/17,10.51,,,0,0,0,78,83,72,250,250,21,28
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/14/17,8.72,,,0,0,0,71,73,63,320,320,17,21
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/15/17,5.82,,,0,0,0,70,81,60,240,240,14.1,19
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/16/17,11.63,,,0,0,0,72,78,60,260,250,29.1,36.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/17/17,6.26,,,0,0,0,67,79,56,90,60,14.1,16.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/18/17,4.03,,,0,0,0,74,89,60,240,250,13,17
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/19/17,7.61,,,0.48,0,0,80,88,70,320,320,35.1,42.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/20/17,7.83,,,1.77,0,0,77,88,69,330,330,23.9,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/21/17,6.93,,,1.43,0,0,80,89,72,300,300,23,34
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/22/17,8.5,,,0.66,0,0,77,88,72,190,200,23.9,32
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/23/17,5.82,,,0.21,0,0,79,90,70,340,350,28,36
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/24/17,10.96,,,0,0,0,71,74,66,20,50,19.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/25/17,8.05,,,0,0,0,71,82,61,130,130,18.1,23
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/26/17,7.16,,,0.03,0,0,75,85,65,250,230,13,16.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/27/17,11.18,,,0,0,0,78,82,70,30,30,23.9,31.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/28/17,13.87,,,0,0,0,74,79,67,20,10,21,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/29/17,9.84,,,0,0,0,72,79,64,40,40,19.9,25.9
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/30/17,5.14,,,0,0,0,73,84,62,70,50,13,16.1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",7/31/17,2.91,,,0,0,0,76,86,65,270,270,12.1,15
